dataset,method,K,classifier,pls_comp,OA,macroF1
salinas,CCARS_50,50,SVM-RBF,2,0.9262718023255814,0.9633402682360864
salinas,CCARS_50,50,SVM-RBF,3,0.91809593,0.9609743418126222
salinas,CCARS_50,50,Random Forest,2,0.9155886627906976,0.9524474376276696
salinas,Original CARS,50,RF,3,0.9154796511627908,0.9515196591392584
salinas,Original CARS,50,RF,4,0.9145348837209304,0.9504719084376252
salinas,Original CARS,50,SVM-RBF,3,0.914171512,0.9576595939226604
salinas,CCARS_50,50,SVM-RBF,4,0.913953488,0.9570585186113147
salinas,Original CARS,50,SVM-RBF,2,0.9133357558139537,0.9527532440767904
salinas,Original CARS,50,SVM-RBF,4,0.912936047,0.9568127029538288
salinas,Original CARS,30,RF,4,0.9115915697674418,0.9492939574147204
salinas,CCARS_50,50,Random Forest,3,0.91002907,0.9480905027631138
salinas,Original CARS,15,RF,4,0.9087209302325582,0.9470737802714972
salinas,Original CARS,50,RF,2,0.9083938953488372,0.9383346374832192
salinas,Original CARS,30,RF,2,0.9081395348837208,0.9398491814072476
salinas,CCARS_30,30,SVM-RBF,2,0.9081031976744186,0.949110235
salinas,Original CARS,20,RF,4,0.9071947674418605,0.9458047591059808
salinas,CCARS_30,30,Random Forest,2,0.9070857558139536,0.9463499872225783
salinas,CCARS_50,50,Random Forest,4,0.9070130813953488,0.9468140338447064
salinas,Original CARS,30,SVM-RBF,4,0.9065406976744186,0.9525274089637908
salinas,CCARS_30,30,SVM-RBF,3,0.9060683139534884,0.9478366946347512
salinas,Original CARS,30,RF,3,0.9059229651162792,0.9438935564927592
salinas,Original CARS,30,SVM-RBF,2,0.9053415697674418,0.9473875081678048
salinas,CCARS_30,30,Random Forest,4,0.9042151162790698,0.9433246747968242
salinas,CCARS_30,30,SVM-RBF,4,0.9039970930232558,0.9483775142774264
salinas,Original CARS,20,RF,3,0.9034156976744186,0.9424549008192302
salinas,Original CARS,30,SVM-RBF,3,0.9020712209302324,0.9475027762202632
salinas,Original CARS,15,SVM-RBF,4,0.9014171511627908,0.9472776794014096
salinas,CCARS_30,30,Random Forest,3,0.9004360465116279,0.9396584017072812
salinas,Original CARS,20,SVM-RBF,4,0.8980741279069767,0.946196068
salinas,Original CARS,20,RF,2,0.8976017441860465,0.9318424102201904
salinas,CCARS_20,20,Random Forest,2,0.8971656976744186,0.9365946422006556
salinas,Original CARS,20,SVM-RBF,3,0.8971293604651163,0.9416031136314332
salinas,CCARS_20,20,SVM-RBF,2,0.8970566860465117,0.9395150938166564
salinas,Original CARS,10,RF,4,0.8934956395348838,0.9330285553965088
salinas,CCARS_20,20,Random Forest,4,0.8892441860465117,0.9349713451547652
salinas,CCARS_20,20,Random Forest,3,0.8881540697674418,0.930083274
salinas,CCARS_20,20,SVM-RBF,3,0.8879360465116279,0.933393307
salinas,Original CARS,20,SVM-RBF,2,0.887827035,0.934438022
salinas,Original CARS,15,RF,3,0.885719477,0.9233896133932452
salinas,Original CARS,10,SVM-RBF,4,0.8846656976744186,0.9304298936509764
salinas,CCARS_10,10,Random Forest,2,0.882703488,0.9269907633687208
salinas,Original CARS,15,RF,2,0.8808502906976744,0.9136396032857867
salinas,CCARS_20,20,SVM-RBF,4,0.8805595930232558,0.9351567815988788
salinas,Original CARS,15,SVM-RBF,3,0.8798328488372092,0.9243034437912367
salinas,Original CARS,10,RF,3,0.8789970930232558,0.9148622610044354
salinas,Original CARS,10,RF,2,0.8748546511627907,0.9092785955325636
salinas,Original CARS,10,SVM-RBF,3,0.8733648255813954,0.9170055089720714
salinas,CCARS_10,10,SVM-RBF,2,0.8693677325581395,0.92069998
salinas,Original CARS,15,SVM-RBF,2,0.8629723837209302,0.9125690087042556
salinas,Original CARS,5,RF,2,0.8586119186046511,0.8894349272655787
salinas,Original CARS,10,SVM-RBF,2,0.8554869186046512,0.9044338569645494
salinas,CCARS_10,10,Random Forest,3,0.837390988,0.8784786397251139
salinas,Original CARS,5,SVM-RBF,2,0.8317223837209302,0.8766941355104862
salinas,Original CARS,5,RF,3,0.8301235465116279,0.8583798706399622
salinas,Original CARS,5,RF,4,0.8301235465116279,0.8824810219917889
salinas,CCARS_10,10,SVM-RBF,3,0.8135537790697674,0.8689516938189041
salinas,Original CARS,5,SVM-RBF,4,0.8021075581395349,0.8654200889837252
salinas,CCARS_10,10,Random Forest,4,0.7929142441860465,0.8144756283884431
salinas,Original CARS,5,SVM-RBF,3,0.7900436046511627,0.8164224393061548
salinas,CCARS_10,10,SVM-RBF,4,0.7797238372093023,0.821151951
indian_pines,Original CARS,50,SVM-RBF,3,0.776134319,0.7562758335493001
indian_pines,Original CARS,50,RF,4,0.771537078,0.668445146
indian_pines,Original CARS,50,SVM-RBF,4,0.7707375574655206,0.7421656619478668
indian_pines,Original CARS,50,SVM-RBF,2,0.7651409154507296,0.7817866470223911
indian_pines,Original CARS,50,RF,3,0.7587447531481112,0.6930285036099394
indian_pines,Original CARS,30,RF,4,0.7583449930041974,0.6496596860409038
indian_pines,CCARS_50,50,SVM-RBF,4,0.756546072,0.7646843564074524
indian_pines,CCARS_50,50,Random Forest,4,0.7557465520687587,0.717509954
indian_pines,CCARS_50,50,Random Forest,2,0.7541475114931041,0.7346188757965337
indian_pines,Original CARS,30,RF,3,0.7537477513491905,0.6545135431678971
indian_pines,CCARS_50,50,SVM-RBF,2,0.753148111,0.7558283912984012
indian_pines,CCARS_50,50,Random Forest,3,0.7523485908454927,0.7207329165301143
indian_pines,Original CARS,20,RF,4,0.7517489506296222,0.6451733296690706
indian_pines,CCARS_30,30,Random Forest,4,0.7453527883270038,0.7178693109600451
indian_pines,CCARS_50,50,SVM-RBF,3,0.7441535078952628,0.746627092
indian_pines,Original CARS,30,SVM-RBF,4,0.7423545872476514,0.753706415
indian_pines,CCARS_30,30,Random Forest,3,0.7419548271037377,0.6992328007793143
indian_pines,Original CARS,50,RF,2,0.7415550669598241,0.6825231816161039
indian_pines,Original CARS,30,SVM-RBF,3,0.734759145,0.7263972393513407
indian_pines,CCARS_30,30,SVM-RBF,4,0.7337597441535079,0.7366439987913183
indian_pines,Original CARS,15,RF,4,0.7329602238656806,0.6314418656031412
indian_pines,Original CARS,10,RF,4,0.7303617829302419,0.637906045
indian_pines,CCARS_30,30,SVM-RBF,3,0.7273635818508895,0.7141612919505814
indian_pines,CCARS_30,30,Random Forest,2,0.7171696981810913,0.6455258768698235
indian_pines,CCARS_30,30,SVM-RBF,2,0.7165700579652209,0.717080003
indian_pines,Original CARS,20,SVM-RBF,4,0.7077753347991206,0.7038798667543986
indian_pines,Original CARS,5,RF,4,0.7077753347991206,0.6113073838077974
indian_pines,Original CARS,30,RF,2,0.6901858884669199,0.6307194418049886
indian_pines,CCARS_20,20,Random Forest,4,0.6857885268838697,0.5951563176018891
indian_pines,CCARS_20,20,Random Forest,3,0.6817909254447332,0.5880436646739291
indian_pines,Original CARS,20,RF,3,0.6811912852288626,0.5757924985792722
indian_pines,CCARS_20,20,Random Forest,2,0.680791525,0.5828114224428621
indian_pines,Original CARS,30,SVM-RBF,2,0.6723965620627623,0.7050617535571462
indian_pines,CCARS_20,20,SVM-RBF,4,0.6723965620627623,0.6631132208154984
indian_pines,Original CARS,15,SVM-RBF,4,0.6707975214871077,0.6533897163418618
indian_pines,Original CARS,20,RF,2,0.6689986008394962,0.5981599806185919
indian_pines,CCARS_20,20,SVM-RBF,3,0.6658005196881871,0.6338631195697383
indian_pines,CCARS_20,20,SVM-RBF,2,0.6616030381770938,0.6437184014747087
indian_pines,Original CARS,15,RF,2,0.6608035178892664,0.5853050370557402
indian_pines,Original CARS,20,SVM-RBF,2,0.6560063961623026,0.6551479370901035
indian_pines,Original CARS,10,SVM-RBF,4,0.6408155106935839,0.6352562890117295
indian_pines,Original CARS,15,RF,3,0.6356186288227064,0.5183394812748777
indian_pines,Original CARS,15,SVM-RBF,2,0.6356186288227064,0.6144163898682348
indian_pines,Original CARS,20,SVM-RBF,3,0.6344193483909654,0.5775392459221711
indian_pines,Original CARS,10,RF,3,0.6244253447931242,0.4926130256976345
indian_pines,CCARS_10,10,Random Forest,4,0.6220267839296422,0.5130630159519982
indian_pines,CCARS_10,10,Random Forest,3,0.6204277433539876,0.4943595950050928
indian_pines,Original CARS,5,SVM-RBF,4,0.6148311013391965,0.6020446901857124
indian_pines,Original CARS,10,RF,2,0.597041775,0.4930063854666648
indian_pines,CCARS_10,10,SVM-RBF,4,0.5884469318408955,0.5561723154820793
indian_pines,Original CARS,15,SVM-RBF,3,0.5852488506895862,0.5226161586318223
indian_pines,CCARS_10,10,SVM-RBF,3,0.5766540075954427,0.5229807340858876
indian_pines,Original CARS,5,RF,3,0.5746552068758745,0.429948881
indian_pines,CCARS_10,10,Random Forest,2,0.5744553268039176,0.4530659637422114
indian_pines,Original CARS,10,SVM-RBF,2,0.5580651609034579,0.4993478089865923
indian_pines,Original CARS,5,RF,2,0.5528682790325804,0.4530917014784049
indian_pines,Original CARS,10,SVM-RBF,3,0.546472117,0.465299151
salinas,ALL_BANDS,204,PLS-DA,4,0.5297238372093023,0.2494811524298852
indian_pines,CCARS_10,10,SVM-RBF,2,0.5162902258644813,0.4756740757208478
indian_pines,ALL_BANDS,200,PLS-DA,4,0.5046971816909854,0.2557010775939315
indian_pines,CCARS_20,20,PLS-DA,4,0.4847091744953028,0.2083420648311409
indian_pines,CCARS_10,10,PLS-DA,4,0.4659204477313612,0.1865865826022162
indian_pines,CCARS_50,50,PLS-DA,4,0.4647211672996202,0.1824315707978557
indian_pines,CCARS_30,30,PLS-DA,3,0.4635218868678792,0.1764962788629273
indian_pines,CCARS_30,30,PLS-DA,4,0.4633220067959224,0.1789424212252983
indian_pines,CCARS_50,50,PLS-DA,3,0.4631221267239656,0.1760074811331104
indian_pines,CCARS_20,20,PLS-DA,3,0.4611233260043973,0.1739454150906356
indian_pines,ALL_BANDS,200,PLS-DA,3,0.4571257245652608,0.1693706472514088
indian_pines,Original CARS,5,SVM-RBF,2,0.448930642,0.4102549269040847
salinas,CCARS_10,10,PLS-DA,4,0.4486191860465116,0.198868252
indian_pines,CCARS_10,10,PLS-DA,3,0.4479312412552468,0.1655451781501111
indian_pines,CCARS_30,30,PLS-DA,2,0.4439336398161103,0.1616905455443526
indian_pines,CCARS_20,20,PLS-DA,2,0.4435338796721967,0.1611792462736034
salinas,CCARS_20,20,PLS-DA,4,0.4424055232558139,0.1895952583942392
indian_pines,CCARS_50,50,PLS-DA,2,0.4389366380171897,0.1557745731938216
indian_pines,Original CARS,5,SVM-RBF,3,0.4379372376574055,0.3125314777575614
salinas,CCARS_20,20,PLS-DA,3,0.4301235465116279,0.1629456162948744
salinas,CCARS_50,50,PLS-DA,4,0.4276162790697674,0.1510669817561022
salinas,CCARS_30,30,PLS-DA,4,0.4228924418604651,0.1523174667397188
indian_pines,CCARS_10,10,PLS-DA,2,0.4225464721167299,0.1436479724484709
indian_pines,ALL_BANDS,200,PLS-DA,2,0.4119528283030182,0.1203389824636074
salinas,CCARS_10,10,PLS-DA,3,0.4058866279069767,0.1514365247659712
salinas,ALL_BANDS,204,PLS-DA,3,0.3924781976744186,0.1033941280501585
salinas,ALL_BANDS,204,PLS-DA,2,0.3923328488372093,0.1029840904930997
salinas,CCARS_50,50,PLS-DA,3,0.3910973837209302,0.1071980983448449
salinas,CCARS_50,50,PLS-DA,2,0.3886991279069767,0.113600006
salinas,CCARS_30,30,PLS-DA,3,0.3841206395348837,0.1122031133421464
salinas,CCARS_10,10,PLS-DA,2,0.3405886627906976,0.088664348
salinas,CCARS_20,20,PLS-DA,2,0.3227470930232558,0.064256888
salinas,CCARS_30,30,PLS-DA,2,0.3226017441860465,0.064214355
